Consecutivo,Date,Adj Close,diferencias,dobles dif
49,16/05/2019,19.060801,-0.082599,-0.0193
50,17/05/2019,19.099199,0.038398,0.120997
51,20/05/2019,19.1306,0.031401,-0.006997
52,21/05/2019,19.046301,-0.084299,-0.1157
53,22/05/2019,null,null,null
54,23/05/2019,18.9828,null,null
55,24/05/2019,19.0308,0.048,null
56,27/05/2019,19.0431,0.0123,-0.0357
57,28/05/2019,19.052999,0.009899,-0.002401
58,29/05/2019,19.183201,0.130202,0.120303
59,30/05/2019,19.1355,-0.047701,-0.177903
60,31/05/2019,19.525,0.3895,0.437201
61,03/06/2019,19.614799,0.089799,-0.299701
62,04/06/2019,19.803301,0.188502,0.098703
63,05/06/2019,19.5669,-0.236401,-0.424903
64,06/06/2019,19.749201,0.182301,0.418702
65,07/06/2019,19.674299,-0.074902,-0.257203
66,10/06/2019,19.2791,-0.395199,-0.320297
67,11/06/2019,19.204399,-0.074701,0.320498
68,12/06/2019,19.1061,-0.098299,-0.023598
69,13/06/2019,19.1598,0.0537,0.151999
70,14/06/2019,19.181101,0.021301,-0.032399
71,17/06/2019,19.131399,-0.049702,-0.071003
72,18/06/2019,19.166201,0.034802,0.084504
73,19/06/2019,19.122801,-0.0434,-0.078202
74,20/06/2019,19.007401,-0.1154,-0.072
75,21/06/2019,18.988899,-0.018502,0.096898
76,24/06/2019,19.0991,0.110201,0.128703
77,25/06/2019,19.194901,0.095801,-0.0144
78,26/06/2019,19.218,0.023099,-0.072702
79,27/06/2019,19.1367,-0.0813,-0.104399
80,28/06/2019,19.1728,0.0361,0.1174
81,01/07/2019,19.136999,-0.035801,-0.071901
82,02/07/2019,19.099899,-0.0371,-0.001299
83,03/07/2019,19.044001,-0.055898,-0.018798
84,04/07/2019,19.003799,-0.040202,0.015696
85,05/07/2019,19.003799,0,0.040202
86,08/07/2019,18.9949,-0.008899,-0.008899
87,09/07/2019,18.9333,-0.0616,-0.052701
88,10/07/2019,19.1605,0.2272,0.2888
89,11/07/2019,19.1285,-0.032,-0.2592
90,12/07/2019,19.067301,-0.061199,-0.029199
91,15/07/2019,18.9876,-0.079701,-0.018502
92,16/07/2019,18.966,-0.0216,0.058101
93,17/07/2019,19.0896,0.1236,0.1452
94,18/07/2019,19.057899,-0.031701,-0.155301
95,19/07/2019,18.956699,-0.1012,-0.069499
96,22/07/2019,19.0126,0.055901,0.157101
97,23/07/2019,19.0392,0.0266,-0.029301
98,24/07/2019,19.1684,0.1292,0.1026
99,25/07/2019,19.058399,-0.110001,-0.239201
100,26/07/2019,19.026199,-0.0322,0.077801
101,29/07/2019,19.031,0.004801,0.037001
102,30/07/2019,19.0467,0.0157,0.010899
103,31/07/2019,19.055401,0.008701,-0.006999
104,01/08/2019,19.136499,0.081098,0.072397
105,02/08/2019,19.2103,0.073801,-0.007297
106,05/08/2019,19.3384,0.1281,0.054299
107,06/08/2019,19.6803,0.3419,0.2138
108,07/08/2019,19.5959,-0.0844,-0.4263
109,08/08/2019,19.632299,0.036399,0.120799
110,09/08/2019,19.4277,-0.204599,-0.240998
111,12/08/2019,19.4256,-0.0021,0.202499
112,13/08/2019,19.584499,0.158899,0.160999
113,14/08/2019,19.3787,-0.205799,-0.364698
114,15/08/2019,19.654699,0.275999,0.481798
115,16/08/2019,19.5986,-0.056099,-0.332098
116,19/08/2019,19.622299,0.023699,0.079798
117,20/08/2019,19.8731,0.250801,0.227102
118,21/08/2019,19.7505,-0.1226,-0.373401
119,22/08/2019,19.6719,-0.0786,0.044
120,23/08/2019,19.7997,0.1278,0.2064
121,26/08/2019,20.004299,0.204599,0.076799
122,27/08/2019,19.9359,-0.068399,-0.272998
123,28/08/2019,19.974001,0.038101,0.1065
124,29/08/2019,20.1394,0.165399,0.127298
125,30/08/2019,20.1208,-0.0186,-0.183999
126,02/09/2019,20.0938,-0.027,-0.0084
127,03/09/2019,20.1245,0.0307,0.0577
128,04/09/2019,19.960699,-0.163801,-0.194501
129,05/09/2019,19.685699,-0.275,-0.111199
130,06/09/2019,19.7057,0.020001,0.295001
131,09/09/2019,19.5411,-0.1646,-0.184601
132,10/09/2019,19.5555,0.0144,0.179
133,11/09/2019,19.492001,-0.063499,-0.077899
134,12/09/2019,19.499399,0.007398,0.070897
135,13/09/2019,19.428499,-0.0709,-0.078298
136,16/09/2019,19.3981,-0.030399,0.040501
137,17/09/2019,19.4224,0.0243,0.054699
138,18/09/2019,19.3528,-0.0696,-0.0939
139,19/09/2019,19.3967,0.0439,0.1135
140,20/09/2019,19.429199,0.032499,-0.011401
141,23/09/2019,19.4189,-0.010299,-0.042798
142,24/09/2019,19.476,0.0571,0.067399
143,25/09/2019,19.435699,-0.040301,-0.097401
144,26/09/2019,19.566999,0.1313,0.171601
145,27/09/2019,19.657,0.090001,-0.041299
146,30/09/2019,19.678699,0.021699,-0.068302
147,01/10/2019,19.7348,0.056101,0.034402
148,02/10/2019,19.803801,0.069001,0.0129
149,03/10/2019,19.783701,-0.0201,-0.089101
150,04/10/2019,19.653,-0.130701,-0.110601
151,07/10/2019,19.5208,-0.1322,-0.001499
152,08/10/2019,19.5709,0.0501,0.1823
153,09/10/2019,19.6252,0.0543,0.0042
