Consecutivo,Date,Adj Close
195,06/12/2019,19.363001
196,09/12/2019,19.2547
197,10/12/2019,19.23
198,11/12/2019,19.249901
199,12/12/2019,19.101299
200,13/12/2019,18.982
201,16/12/2019,19.034201
202,17/12/2019,18.936199
203,18/12/2019,18.9175
204,19/12/2019,18.9755
205,20/12/2019,18.909
206,23/12/2019,18.941299
207,24/12/2019,18.9345
208,25/12/2019,18.9627
209,26/12/2019,18.952101
210,27/12/2019,18.928499
211,30/12/2019,18.8279
212,31/12/2019,18.9177
213,01/01/2020,18.9174
214,02/01/2020,18.8988
215,03/01/2020,18.830299
216,06/01/2020,18.944799
217,07/01/2020,18.8414
218,08/01/2020,18.964199
219,09/01/2020,18.813999
220,10/01/2020,18.834801
221,13/01/2020,18.7976
222,14/01/2020,18.7901
223,15/01/2020,18.7938
224,16/01/2020,18.7827
225,17/01/2020,18.763
226,20/01/2020,18.6563
227,21/01/2020,18.6537
228,22/01/2020,18.759399
229,23/01/2020,18.700399
230,24/01/2020,18.749201
231,27/01/2020,18.862499
232,28/01/2020,18.892
233,29/01/2020,18.7241
234,30/01/2020,18.6819
235,31/01/2020,18.7808
236,03/02/2020,18.8664
237,04/02/2020,18.8144
238,05/02/2020,18.671301
239,06/02/2020,18.587601
240,07/02/2020,18.6397
241,10/02/2020,18.8002
242,11/02/2020,18.7027
243,12/02/2020,18.642
244,13/02/2020,18.6404
245,14/02/2020,18.5951
246,17/02/2020,18.542999
247,18/02/2020,18.549999
248,19/02/2020,18.5889
249,20/02/2020,18.5501
250,21/02/2020,18.847401
251,24/02/2020,19.0077
252,25/02/2020,19.0366
253,26/02/2020,19.059999
254,27/02/2020,19.2866
255,28/02/2020,19.459
256,02/03/2020,19.823099
257,03/03/2020,19.405001
258,04/03/2020,19.431601
259,05/03/2020,19.5172
260,06/03/2020,19.814501
261,09/03/2020,21.057501
262,10/03/2020,20.812201
